,Arolla / Météo1 (Arolla - Température - C°),C: Arolla / Météo1 (Arolla - Température - C°) (1. Année précédente),C: Arolla / Météo1 (Arolla - Température - C°) (2. Année précédente),C: Arolla / Météo1 (Arolla - Température - C°) (3. Année précédente),C: Arolla / Météo1 (Arolla - Température - C°) (4. Année précédente)
5/1/2019 7:30,-3.437,-0.325,-2.031,-3.828078,0.725
5/1/2019 7:45,-3.437,-0.175,-2.031,-3.494,0.9375
5/1/2019 8:00,-3.437,-0.175,-1.711422,-2.931,1.175
5/1/2019 8:15,-3.437,-0.175,-1.637,-2.931,1.334139
5/1/2019 8:30,-3.437,-0.175,-1.637,-2.611828,1.512
5/1/2019 8:45,-3.075561,-0.175,-1.637,-2.144,1.141015
5/1/2019 9:00,-2.706,0.2325,-2.316889,-2.144,1.517083
5/1/2019 9:15,-2.706,0.275,-2.481,-1.356,2.130506
5/1/2019 9:30,-1.7854,0.275,-2.481,-0.788644,2.581
5/1/2019 9:45,5.332244,0.46375,-2.821928,-0.512,3.16975
5/1/2019 10:00,8.57525,0.5,-3.044,-0.512,3.256
5/1/2019 10:15,9.219,1.05125,-3.044,-0.512,3.256
5/1/2019 10:30,9.219,1.175,-3.308183,0.419533,3.981
5/1/2019 10:45,10.877884,1.175,-3.437,0.556,3.946567
5/1/2019 11:00,10.800533,1.534694,-3.437,1.701778,3.538
5/1/2019 11:15,10.738,2.800045,-3.437,2.525,3.538
5/1/2019 11:30,10.738,4.2632,-3.319917,2.525,2.688417
5/1/2019 11:45,11.000772,5.051672,-2.5002,2.75625,2.638
5/1/2019 12:00,12.369,6.443445,-1.187,3.65,3.312
5/1/2019 12:15,13.475428,8.278844,-1.0036,5.68625,3.312
5/1/2019 12:30,13.005844,6.013,-0.794,8.646122,3.312
5/1/2019 12:45,12.696866,8.309392,-0.794,9.508011,3.312
5/1/2019 13:00,13.684933,7.802917,-0.555411,8.674456,3.312
5/1/2019 13:15,13.044,6.107555,-0.4,6.519,3.312
5/1/2019 13:30,13.6065,5.636311,-0.04,5.737522,3.312
5/1/2019 13:45,13.703039,6.406,0.373417,4.213,3.312
5/1/2019 14:00,14.5065,5.706,1.456,3.578222,3.312
5/1/2019 14:15,15.463,5.587222,2.356,4.003911,3.312
5/1/2019 14:30,14.4505,6.237,2.296678,3.587106,3.312
5/1/2019 14:45,14.338,6.594717,2.075,3.2,3.426544
5/1/2019 15:00,14.338,6.744,3.481,3.373489,3.992956
5/1/2019 15:15,14.072706,6.446267,3.481,3.879833,4.662
5/1/2019 15:30,13.437,5.787,3.481,2.630955,4.662
5/1/2019 15:45,14.394,4.559163,2.075,1.738,4.662
5/1/2019 16:00,14.559478,4.55,3.087,0.90675,5.390039
5/1/2019 16:15,16.0347,3.485454,3.087,0.613,6.331278
5/1/2019 16:30,16.363001,3.481,3.087,0.613,7.1445
5/1/2019 16:45,16.363001,4.123378,3.087,0.906939,8.037
5/1/2019 17:00,15.255678,4.325,3.008289,0.95,6.764144
5/1/2019 17:15,15.125,4.93625,2.075,0.95,4.135366
5/1/2019 17:30,15.125,4.763633,1.681978,0.106,3.86025
5/1/2019 17:45,15.125,3.987,0.863117,0.077617,3.369
5/1/2019 18:00,13.510333,3.352,-0.062,-0.287,3.369
5/1/2019 18:15,8.412039,2.742,-0.062,-0.287,3.344589
5/1/2019 18:30,6.744,2.187,-0.062,-0.420522,3.031
5/1/2019 18:45,6.236361,2.187,-0.062,-0.681,3.031
5/1/2019 19:00,6.013,2.187,-0.610311,-0.808239,3.031
5/1/2019 19:15,5.651956,1.5178,-1.497,-1.3,3.031
5/1/2019 19:30,5.169,1.231,-1.75,-1.3,2.554428
5/1/2019 19:45,4.514266,0.9735,-1.75,-1.471478,2.244
5/1/2019 20:00,3.869155,0.613,-2.050522,-1.806,2.244
5/1/2019 20:15,3.425,0.613,-2.481,-1.806,2.207456
5/1/2019 20:30,2.868628,0.219,-2.669245,-2.078278,1.738
5/1/2019 20:45,2.549567,0.219,-2.875,-2.144,1.738
5/1/2019 21:00,2.075,0.219,-3.68735,-2.144,1.366071
5/1/2019 21:15,2.075,0.219,-4.334,-2.144,1.344
5/1/2019 21:30,2.075,0.219,-5.169,-2.409259,1.344
5/1/2019 21:45,2.264656,-0.055625,-5.519,-2.425,1.344
5/1/2019 22:00,2.413,-0.062,-5.824,-2.425,1.344
5/1/2019 22:15,2.2271,-0.062,-5.969,-2.425,1.344
5/1/2019 22:30,1.906,-0.062,-5.631989,-2.425,1.344
5/1/2019 22:45,0.95,-0.062,-5.35,-2.425,1.344
5/1/2019 23:00,0.95,-0.062,-5.35,-2.425,1.482939
5/1/2019 23:15,0.95,-0.062,-5.35,-2.538606,1.625
5/1/2019 23:30,0.706467,-0.062,-5.35,-2.594,1.625
5/1/2019 23:45,0.388,-0.062,-5.35,-2.594,1.625
5/2/2019 0:00,0.388,-0.062,-5.35,-2.594,1.667933
5/2/2019 0:15,0.035917,-0.062,-5.35,-2.594,1.681
5/2/2019 0:30,-0.119,-0.062,-5.671767,-2.594,1.681
5/2/2019 0:45,-0.119,-0.062,-5.744,-2.79025,1.681
5/2/2019 1:00,-0.240694,-0.062,-6.198822,-2.819,1.681
5/2/2019 1:15,-0.456,-0.062,-6.817483,-2.819,1.681
5/2/2019 1:30,-0.456,-0.062,-7.431,-2.819,1.681
5/2/2019 1:45,-0.8447,-0.062,-8.05,-2.819,1.681
5/2/2019 2:00,-0.963,-0.062,-8.05,-2.819,1.681
5/2/2019 2:15,-0.963,-0.062,-8.05,-2.819,1.681
5/2/2019 2:30,-0.963,-0.116833,-8.527655,-2.887133,2.668661
5/2/2019 2:45,-0.963,-0.344,-7.806928,-2.987,3.312
5/2/2019 3:00,-1.091011,-0.344,-7.752133,-2.987,2.429311
5/2/2019 3:15,-1.525,-0.344,-8.387,-2.987,2.245278
5/2/2019 3:30,-1.525,-0.384133,-8.479012,-2.987,1.906
5/2/2019 3:45,-1.525,-0.512,-8.725,-2.987,1.861367
5/2/2019 4:00,-1.525,-0.512,-8.725,-2.987,1.288
5/2/2019 4:15,-1.525,-0.512,-8.725,-3.325,1.288
5/2/2019 4:30,-1.525,-0.512,-8.81625,-3.325,1.288
5/2/2019 4:45,-1.525,-0.512,-8.95,-3.325,1.288
5/2/2019 5:00,-1.525,-0.791789,-8.95,-3.325,1.412133
5/2/2019 5:15,-1.740433,-0.85,-8.95,-3.325,1.456
5/2/2019 5:30,-1.806,-0.85,-8.95,-3.325,1.456
5/2/2019 5:45,-1.806,-0.85,-8.95,-3.325,1.456
5/2/2019 6:00,-1.806,-0.85,-8.95,-3.325,1.184528
5/2/2019 6:15,-1.924067,-0.85,-8.6475,-3.325,1.074294
5/2/2019 6:30,-2.312,-0.85,-7.835,-3.325,0.5
5/2/2019 6:45,-2.025267,-0.85,-7.295,-3.325,0.5
5/2/2019 7:00,-1.806,-0.85,-6.7,-3.325,0.5
5/2/2019 7:15,-1.685794,-0.85,-5.785994,-3.325,0.5
5/2/2019 7:30,-1.525,-0.85,-4.536533,-2.991428,1.082244
5/2/2019 7:45,-1.525,-0.59875,-4.118239,-2.706,1.288
5/2/2019 8:00,-1.525,-0.175,-3.136,-1.981,1.484511
5/2/2019 8:15,-0.972367,-0.175,-1.710806,-1.434361,2.244
5/2/2019 8:30,-0.963,0.265178,-0.85,-1.019,2.244
5/2/2019 8:45,0.957983,0.688844,0.513928,-1.019,2.60775
5/2/2019 9:00,3.333317,1.231,1.681,-1.019,2.919
5/2/2019 9:15,3.987,2.181,1.168606,-1.019,2.919
5/2/2019 9:30,3.987,2.356,1.754217,-1.019,3.344
5/2/2019 9:45,7.345061,3.369,1.438572,-0.381813,6.463
5/2/2019 10:00,9.838,4.591683,1.011794,0.692056,7.408144
5/2/2019 10:15,10.94425,4.606,3.48125,2.735322,9.95
5/2/2019 10:30,9.637067,4.760411,4.442745,5.13075,10.835322
5/2/2019 10:45,10.681,5.725,4.9085,6.687,8.708462
5/2/2019 11:00,10.081733,6.8,7.602088,7.447878,8.497644
5/2/2019 11:15,10.643833,6.8,12.90375,7.925,10.428211
5/2/2019 11:30,12.2675,9.542733,11.253372,11.162499,12.144
5/2/2019 11:45,12.875,7.849778,11.337667,14.907311,12.977845
5/2/2019 12:00,13.616405,6.912,14.956923,12.220789,15.406156
5/2/2019 12:15,12.871467,6.997,16.345074,9.565788,12.668006
5/2/2019 12:30,14.943106,7.812,11.550156,13.020683,14.089298
5/2/2019 12:45,13.901328,7.755833,9.331,14.87825,15.294
5/2/2019 13:00,14.756206,7.475,9.041989,16.466805,15.294
5/2/2019 13:15,13.887,7.832011,7.925,15.926661,16.834221
5/2/2019 13:30,13.049289,8.670266,7.925,14.387995,16.846313
5/2/2019 13:45,12.3625,7.941439,7.244039,15.575,19.209229
5/2/2019 14:00,10.625,8.611144,6.912,15.26875,19.906784
5/2/2019 14:15,11.25625,8.825,6.162,14.259206,17.613756
5/2/2019 14:30,11.75,8.825,5.247,13.331556,14.675
5/2/2019 14:45,11.75,8.770022,4.662,10.083533,16.463499
5/2/2019 15:00,11.75,7.588,4.662,8.972717,15.783173
5/2/2019 15:15,11.75,6.936244,4.662,7.588,15.125
5/2/2019 15:30,11.75,5.824667,5.883512,8.491233,15.125
5/2/2019 15:45,11.75,5.216594,5.956,13.765889,12.309639
5/2/2019 16:00,11.250256,4.775,6.142056,11.663867,11.159306
5/2/2019 16:15,9.1585,4.247056,6.35,9.166411,10.287
5/2/2019 16:30,8.206,4.044,4.534905,6.956833,10.093422
5/2/2019 16:45,5.065444,3.83775,2.919,6.218406,8.995
5/2/2019 17:00,3.6327,3.369,1.839189,6.125,6.649811
5/2/2019 17:15,2.596,3.369,0.6842,5.828539,6.211961
5/2/2019 17:30,1.765333,3.552867,-0.227033,5.394,5.146678
5/2/2019 17:45,1.062,3.763,-0.344,5.394,3.417389
5/2/2019 18:00,0.959728,3.263933,-0.344,4.98525,3.144
5/2/2019 18:15,0.613,2.975,-0.344,4.719,2.469
5/2/2019 18:30,0.613,2.975,-0.344,5.195572,2.193239
5/2/2019 18:45,0.694522,2.535208,-0.344,5.506,1.456
5/2/2019 19:00,1.119,2.525,-0.344,5.566895,1.456
5/2/2019 19:15,1.0008,2.45,-0.754422,5.478305,1.456
5/2/2019 19:30,0.725,2.075,-2.029731,4.606,1.456
5/2/2019 19:45,0.539467,2.075,-2.087,3.703554,1.456
5/2/2019 20:00,0.219,1.415313,-2.435033,3.082644,1.456
5/2/2019 20:15,0.219,1.4,-2.481,2.749161,1.456
5/2/2019 20:30,0.219,1.2735,-2.481,2.019,1.456
5/2/2019 20:45,0.219,0.894,-2.481,1.865739,1.627478
5/2/2019 21:00,0.2077,0.894,-2.481,1.456,1.962
5/2/2019 21:15,0.106,0.848728,-2.481,1.456,2.079222
5/2/2019 21:30,0.106,0.613,-3.109311,1.296861,2.806
5/2/2019 21:45,0.106,0.613,-4.24375,1.119,2.806
5/2/2019 22:00,0.106,0.613,-4.986422,1.119,2.806
5/2/2019 22:15,0.041994,0.613,-5.406,1.119,2.540611
5/2/2019 22:30,-0.175,0.613,-5.816422,1.042506,2.244
5/2/2019 22:45,-0.175,0.613,-5.912,0.838,2.244
5/2/2019 23:00,-0.175,0.613,-5.912,0.838,2.4565
5/2/2019 23:15,-0.175,0.613,-5.912,0.838,2.694
5/2/2019 23:30,-0.175,0.613,-5.912,0.686033,2.694
5/2/2019 23:45,-0.175,0.218667,-5.220467,0.556,2.694
5/3/2019 0:00,-0.175,0.106,-4.9,0.556,2.694
5/3/2019 0:15,-0.248233,0.106,-4.9,0.556,2.694
5/3/2019 0:30,-0.344,0.106,-4.9,0.556,2.694
5/3/2019 0:45,-0.344,0.106,-4.855295,0.41975,2.694
5/3/2019 1:00,-0.344,0.106,-4.281,0.331,2.694
5/3/2019 1:15,-0.44025,0.106,-4.281,0.331,3.109433
5/3/2019 1:30,-0.569,0.106,-3.775,0.331,3.312
5/3/2019 1:45,-0.569,0.106,-3.775,0.331,3.2795
5/3/2019 2:00,-0.569,0.106,-3.775,0.331,2.862
5/3/2019 2:15,-0.874567,-0.002267,-3.775,0.331,2.862
5/3/2019 2:30,-1.187,-0.062,-3.775,0.331,2.862
5/3/2019 2:45,-1.356,-0.062,-3.815661,0.331,2.862
5/3/2019 3:00,-1.525,-0.062,-4.338,0.331,3.107967
5/3/2019 3:15,-1.525,-0.062,-4.338,-0.042878,3.144
5/3/2019 3:30,-1.1225,-0.062,-4.338,-0.175,3.144
5/3/2019 3:45,-1.075,-0.062,-4.338,-0.175,3.144
5/3/2019 4:00,-1.075,-0.062,-4.261411,-0.175,3.144
5/3/2019 4:15,-1.075,-0.062,-4.112,-0.175,3.144
5/3/2019 4:30,-1.075,-0.062,-4.112,-0.175,3.144
5/3/2019 4:45,-1.075,-0.062,-4.112,-0.911156,3.144
5/3/2019 5:00,-1.075,-0.062,-3.916622,-1.019,3.144
5/3/2019 5:15,-1.075,-0.062,-3.888,-1.019,3.144
5/3/2019 5:30,-1.075,-0.062,-3.888,-0.791789,3.074522
5/3/2019 5:45,-1.2175,-0.062,-3.888,-0.681,2.806
5/3/2019 6:00,-1.3,-0.062,-3.888,-0.681,2.806
5/3/2019 6:15,-1.3,-0.062,-3.888,-1.105644,3.123389
5/3/2019 6:30,-1.015,-0.062,-3.978222,-1.469,3.2
5/3/2019 6:45,-0.85,-0.062,-4,-1.681322,3.2
5/3/2019 7:00,-0.85,-0.029644,-4,-1.863,3.309306
5/3/2019 7:15,-0.85,0.05,-4.054722,-1.863,3.987
5/3/2019 7:30,-0.653,0.05,-4.394,-1.304833,3.987
5/3/2019 7:45,-0.456,0.05,-4.036623,-0.176194,3.987
5/3/2019 8:00,-0.456,0.222922,-3.663,1.054606,4.52075
5/3/2019 8:15,-0.261189,0.444,-3.247005,2.201072,5.562
5/3/2019 8:30,-0.062,0.444,-3.423978,3.172961,5.562
5/3/2019 8:45,-0.062,0.996633,-4.056,3.875,5.562
5/3/2019 9:00,0.4942,1.006,-4.056,3.875,5.562
5/3/2019 9:15,0.556,1.006,-3.631378,3.875,6.101906
5/3/2019 9:30,1.500935,1.006,-3.494,4.70625,7.260811
5/3/2019 9:45,1.512,1.843161,1.047163,5.636428,8.029
5/3/2019 10:00,2.059222,2.469,4.251528,6.705789,8.835983
5/3/2019 10:15,2.3,1.860489,7.274,7.475,7.812
5/3/2019 10:30,3.127978,1.681,7.869,7.689239,7.812
5/3/2019 10:45,4.06225,1.853028,7.576694,8.834044,8.086155
5/3/2019 11:00,4.901044,2.340789,8.916411,10.507694,8.807172
5/3/2019 11:15,5.225,2.806,12.256,11.131,9.275
5/3/2019 11:30,7.127341,3.751,7.878139,9.326107,10.814634
5/3/2019 11:45,7.419,5.2702,7.810683,12.244522,10.463339
5/3/2019 12:00,10.146688,5.394,10.015439,12.87725,10.038328
5/3/2019 12:15,8.13,5.394,10.231,9.53225,9.838
5/3/2019 12:30,9.208917,5.394,10.231,9.331,12.715511
5/3/2019 12:45,9.705778,7.138,10.231,9.331,13.944
5/3/2019 13:00,12.256,7.529783,12.261084,9.705584,13.944
5/3/2019 13:15,10.024555,9.695,10.316783,8.191133,13.944
5/3/2019 13:30,7.829074,10.625,9.19375,7.756,13.944
5/3/2019 13:45,9.344511,10.625,8.51875,7.756,13.315022
5/3/2019 14:00,8.431,9.171249,7.925,7.756,10.923512
5/3/2019 14:15,8.431,7.9,7.925,5.9,10.512
5/3/2019 14:30,8.611,9.716378,7.717372,5.236055,11.934405
5/3/2019 14:45,10.231,10.569,8.426984,5.29025,13.381
5/3/2019 15:00,9.627019,10.569,8.937,10.817333,14.87725
5/3/2019 15:15,10.010533,10.096705,8.937,7.9217,15.406
5/3/2019 15:30,9.916,8.601111,10.955233,6.124534,13.36225
5/3/2019 15:45,9.9085,7.090333,11.075,6.63575,10.742377
5/3/2019 16:00,9.864067,5.893889,9.275,5.079521,10.118767
5/3/2019 16:15,7.327466,5.45025,9.912594,4.269,9.669
5/3/2019 16:30,6.601,4.944,8.431427,3.247895,9.669
5/3/2019 16:45,6.181,4.944,6.15325,2.75,9.669
5/3/2019 17:00,6.181,4.944,3.48075,2.209872,10.996238
5/3/2019 17:15,6.461825,4.944,1.569,1.06525,10.145194
5/3/2019 17:30,5.991267,4.437,0.556,0.019356,8.529927
5/3/2019 17:45,5.593622,4.291817,0.556,-0.344,7.732339
5/3/2019 18:00,5.169,3.594,2.555333,-0.344,7.138
5/3/2019 18:15,5.169,3.594,4.1,-0.182022,7.138
5/3/2019 18:30,4.556878,3.594,4.1,0.444,7.138
5/3/2019 18:45,3.931,3.854239,2.532399,0.444,6.90925
5/3/2019 19:00,3.545878,3.931,1.288,0.444,6.463
5/3/2019 19:15,2.799161,3.251178,1.288,0.444,6.463
5/3/2019 19:30,1.962,2.975,0.863208,0.444,6.463
5/3/2019 19:45,1.540333,2.975,0.838,0.3215,6.253228
5/3/2019 20:00,1.438833,2.975,0.838,-0.006,5.844
5/3/2019 20:15,0.838,2.617989,-0.100344,-0.006,5.844
5/3/2019 20:30,0.838,2.469,-0.231,-0.234328,5.43525
5/3/2019 20:45,0.7198,2.469,-0.6704,-0.569,5.169
5/3/2019 21:00,0.444,2.469,-0.738,-0.834389,5.169
5/3/2019 21:15,0.444,2.469,-0.904628,-1.131,4.794384
5/3/2019 21:30,0.229933,2.112211,-1.075,-1.131,4.662
5/3/2019 21:45,0.106,2.075,-1.075,-1.131,4.662
5/3/2019 22:00,0.106,2.075,-1.3786,-1.131,4.662
5/3/2019 22:15,0.106,2.075,-1.581,-1.423306,4.662
5/3/2019 22:30,0.106,2.075,-1.581,-1.75,4.1
5/3/2019 22:45,0.131739,1.751722,-1.796,-1.75,4.347728
5/3/2019 23:00,0.219,1.569,-2.031,-2.192661,4.831
5/3/2019 23:15,0.219,1.569,-2.031,-2.481,4.831
5/3/2019 23:30,0.1008,1.569,-2.031,-2.481,4.831
5/3/2019 23:45,-0.175,1.569,-2.031,-2.7235,4.423388
5/4/2019 0:00,-0.175,1.143683,-2.30475,-2.931,4.325
5/4/2019 0:15,-0.175,1.062,-2.706,-2.931,4.532628
5/4/2019 0:30,-0.175,1.062,-2.706,-2.931,4.606
5/4/2019 0:45,-0.175,1.077022,-3.080839,-2.931,4.606
5/4/2019 1:00,-0.006,1.4,-3.325,-3.33975,4.368017
5/4/2019 1:15,-0.006,1.4,-3.325,-3.892022,4.361989
5/4/2019 1:30,-0.006,1.259167,-3.325,-4.45,4.719
5/4/2019 1:45,-0.006,1.231,-2.784075,-4.688944,4.719
5/4/2019 2:00,-0.04225,1.231,-2.763,-4.956,4.227939
5/4/2019 2:15,-0.231,1.137667,-2.763,-5.496128,4.156
5/4/2019 2:30,-0.231,1.119,-2.763,-5.687,4.156
5/4/2019 2:45,-0.231,1.119,-2.763,-5.873055,4.156
5/4/2019 3:00,-0.231,1.119,-2.763,-6.081,3.906995
5/4/2019 3:15,-0.231,1.119,-2.952578,-6.081,3.819
5/4/2019 3:30,-0.231,1.119,-3.212,-6.2635,3.819
5/4/2019 3:45,-0.2385,1.119,-3.212,-6.531,3.819
5/4/2019 4:00,-0.456,1.119,-3.212,-6.531,3.819
5/4/2019 4:15,-0.456,0.915433,-3.212,-6.531,3.819
5/4/2019 4:30,-0.821733,0.725,-3.212,-6.947106,3.819
5/4/2019 4:45,-1.3,0.924456,-3.212,-7.15,3.837978
5/4/2019 5:00,-2.198872,1.344,-3.212,-7.15,3.875
5/4/2019 5:15,-1.838622,1.344,-3.463039,-7.15,3.875
5/4/2019 5:30,-1.393611,1.344,-3.831,-7.263961,3.875
5/4/2019 5:45,-0.963,1.344,-3.831,-7.431,3.500161
5/4/2019 6:00,-0.963,1.344,-3.966711,-7.431,3.256
5/4/2019 6:15,-0.963,1.344,-4.225,-7.431,3.495417
5/4/2019 6:30,-0.9123,1.469439,-4.381111,-7.431,3.763
5/4/2019 6:45,-0.794,1.836,-4.787,-7.431,3.763
5/4/2019 7:00,-0.794,2.581,-4.787,-7.350011,3.763
5/4/2019 7:15,-0.794,2.581,-4.787,-7.037,3.763
5/4/2019 7:30,-0.794,2.581,-4.787,-7.037,3.763
5/4/2019 7:45,-0.577117,2.581,-4.53115,-6.705239,4.254395
5/4/2019 8:00,-0.287,3.363261,-4.056,-6.588,4.692995
5/4/2019 8:15,-0.287,4.6566,-4.056,-6.172006,5.225
5/4/2019 8:30,0.1456,5.352778,-4.056,-6.025,5.801072
5/4/2019 8:45,0.501567,5.9,-4.056,-5.834545,6.294
5/4/2019 9:00,1.062,6.062356,-3.661,-5.463,6.294
5/4/2019 9:15,1.3491,6.181,-3.606,-5.233244,7.036913
5/4/2019 9:30,2.1065,6.181,-2.714144,-3.894455,7.081
5/4/2019 9:45,6.701033,6.181,4.768483,3.361678,7.638694
5/4/2019 10:00,7.588,6.181,7.176678,7.780928,8.324639
5/4/2019 10:15,6.5048,6.4514,8.375,9.644533,8.713
5/4/2019 10:30,3.256,6.519,8.375,9.781,7.95675
5/4/2019 10:45,3.482522,8.4389,6.553278,7.651917,8.672588
5/4/2019 11:00,4.662,15.412667,6.550045,7.262861,10.03775
5/4/2019 11:15,9.487956,13.12495,7.381,9.511855,11.671238
5/4/2019 11:30,10.450678,10.032249,5.676269,10.6885,11.58375
5/4/2019 11:45,5.888066,10.006,6.893933,12.035823,11.525
5/4/2019 12:00,5.627544,9.864083,12.0495,12.873356,11.525
5/4/2019 12:15,9.858251,9.613,14.3826,9.52599,11.525
5/4/2019 12:30,10.728383,13.53195,13.205688,13.468211,11.525
5/4/2019 12:45,9.988883,13.561,11.158311,12.628422,9.781
5/4/2019 13:00,8.307366,12.706,10.217334,13.831,8.262
5/4/2019 13:15,8.176001,12.543401,6.915572,14.246995,8.421789
5/4/2019 13:30,10.506467,15.562817,5.956,14.36275,8.993011
5/4/2019 13:45,8.713416,16.174778,5.956,14.169,9.894
5/4/2019 14:00,7.56225,14.708378,5.166867,14.169,9.815981
5/4/2019 14:15,8.2079,15.483822,5.391578,14.169,11.131
5/4/2019 14:30,8.4927,16.643999,5.619,17.882322,11.947028
5/4/2019 14:45,13.650233,15.715499,5.619,16.408142,13.807751
5/4/2019 15:00,10.195566,15.105844,4.901694,14.9,16.491222
5/4/2019 15:15,9.5,13.408757,2.943872,14.9,15.463
5/4/2019 15:30,8.378533,13.699778,1.375872,14.9,14.795856
5/4/2019 15:45,5.9278,12.762,0.165,13.891825,14.225
5/4/2019 16:00,5.506,12.506188,1.088878,14.844,13.096344
5/4/2019 16:15,5.2435,13.2464,1.370167,14.100142,13.426794
5/4/2019 16:30,5.566778,13.5222,0.838,14.056,13.600106
5/4/2019 16:45,5.018667,13.269,0.838,14.056,10.300424
5/4/2019 17:00,4.775,14.086066,0.838,11.772509,9.469356
5/4/2019 17:15,3.76875,13.368555,1.246144,12.947978,9.106
5/4/2019 17:30,3.65,11.320483,1.512,12.144,9.785889
5/4/2019 17:45,3.65,9.580717,1.512,12.144,11.653877
5/4/2019 18:00,3.65,9.081445,2.149188,12.144,12.256
5/4/2019 18:15,2.24375,10.808534,1.540267,10.006,9.725
5/4/2019 18:30,1.259267,10.711067,1.119,6.282461,9.725
5/4/2019 18:45,0.781,10.175,0.331,5.112,9.430189
5/4/2019 19:00,0.066583,10.175,0.331,4.421949,9.31075
5/4/2019 19:15,-0.449067,10.154778,-0.344,4.381,9.162
5/4/2019 19:30,-0.738,9.203828,-0.344,4.184489,11.561611
5/4/2019 19:45,-0.738,8.488,-0.398722,3.425,13.1
5/4/2019 20:00,-0.738,8.488,-0.738,2.82,13.1
5/4/2019 20:15,-0.8727,7.399383,-0.920094,2.258295,12.57029
5/4/2019 20:30,-1.187,6.62525,-1.187,1.738,12.312
5/4/2019 20:45,-1.3559,5.844,-1.187,1.030883,12.312
5/4/2019 21:00,-1.75,5.7665,-1.187,0.64225,10.545012
5/4/2019 21:15,-1.75,5.394,-1.581,0.106,9.781
5/4/2019 21:30,-1.963433,5.394,-1.581,-0.527972,9.940612
5/4/2019 21:45,-2.087,5.36575,-1.612922,-0.681,10.204295
5/4/2019 22:00,-2.087,5.281,-1.919,-0.681,11.3
5/4/2019 22:15,-2.087,4.7693,-1.919,-0.727944,11.235001
5/4/2019 22:30,-2.087,4.55,-2.326611,-1.019,10.4
5/4/2019 22:45,-2.5937,4.55,-2.425,-1.019,10.4
5/4/2019 23:00,-2.65,4.427945,-2.425,-1.019,10.898639
5/4/2019 23:15,-3.007011,4.381,-2.674744,-1.019,11.019
5/4/2019 23:30,-3.156,4.850166,-2.763,-1.4115,11.019
5/4/2019 23:45,-3.156,4.944,-2.763,-1.469,11.019
5/5/2019 0:00,-3.156,4.944,-2.832272,-1.469,10.881922
5/5/2019 0:15,-4.000167,4.944,-3.1,-1.469,10.89975
5/5/2019 0:30,-4.441094,4.944,-3.1,-1.469,12.256
5/5/2019 0:45,-4.9,4.754861,-3.1,-1.469,12.256
5/5/2019 1:00,-4.9,4.325,-3.806378,-1.566689,12.256
5/5/2019 1:15,-5.575,4.167578,-4.489539,-1.581,12.063499
5/5/2019 1:30,-5.575,3.819,-5.185956,-1.581,11.806
5/5/2019 1:45,-5.71,4.4768,-5.969,-1.581,11.806
5/5/2019 2:00,-6.025,4.741911,-6.302572,-1.581,12.014228
5/5/2019 2:15,-6.025,3.987,-6.588,-1.731261,12.303823
5/5/2019 2:30,-6.0675,3.987,-6.620428,-2.312,11.863
