,Arolla / Météo (Bricola - Pluviomètre - mm),C: Arolla / Météo (Bricola - Pluviomètre - mm) (1. Année précédente),C: Arolla / Météo (Bricola - Pluviomètre - mm) (2. Année précédente),C: Arolla / Météo (Bricola - Pluviomètre - mm) (3. Année précédente),C: Arolla / Météo (Bricola - Pluviomètre - mm) (4. Année précédente)
5/1/2019 8:15,0.375,22.825001,13.775,10.625,0.275
5/1/2019 8:30,0.35,22.825001,13.775,10.725,0.375
5/1/2019 8:45,0.375,22.825001,13.775,10.925,0.475
5/1/2019 9:00,0.375,22.825001,13.875,11.025,0.775
5/1/2019 9:15,0.375,22.825001,14.375,11.225,1.075
5/1/2019 9:30,0.375,22.825001,15,11.325,1.175
5/1/2019 9:45,0.375,22.825001,15.5,11.525,1.275
5/1/2019 10:00,0.375,22.825001,15.7,11.85,1.375
5/1/2019 10:15,0.375,22.825001,15.825,11.85,1.575
5/1/2019 10:30,0.375,22.825001,15.925,12.05,1.575
5/1/2019 10:45,0.375,22.825001,16.125,12.05,1.775
5/1/2019 11:00,0.375,22.825001,16.325001,12.05,2.3
5/1/2019 11:15,0.375,22.825001,16.325001,12.05,2.7
5/1/2019 11:30,0.375,22.825001,16.325001,12.05,2.9
5/1/2019 11:45,0.375,22.825001,16.325001,12.35,3.6
5/1/2019 12:00,0.375,22.825001,16.325001,12.35,4.025
5/1/2019 12:15,0.375,22.825001,16.325001,12.35,4.425
5/1/2019 12:30,0.575,22.825001,16.325001,12.35,4.825
5/1/2019 12:45,0.575,22.825001,16.525,12.35,5.225
5/1/2019 13:00,0.575,22.825001,16.625,12.35,5.85
5/1/2019 13:15,0.575,22.825001,16.725,12.55,6.575
5/1/2019 13:30,0.575,22.825001,16.825001,12.675,7.075
5/1/2019 13:45,1.075,22.825001,16.924999,12.675,7.775
5/1/2019 14:00,1.075,22.825001,16.924999,13.175,8.2
5/1/2019 14:15,1.075,22.85,16.924999,13.175,8.8
5/1/2019 14:30,1.075,22.825001,16.924999,13.175,9.2
5/1/2019 14:45,1.075,22.825001,16.924999,13.175,9.6
5/1/2019 15:00,1.075,22.825001,17.25,13.175,9.9
5/1/2019 15:15,1.075,22.825001,17.450001,13.175,10.025
5/1/2019 15:30,1.075,22.825001,17.450001,13.475,10.025
5/1/2019 15:45,1.075,22.825001,17.65,13.475,10.025
5/1/2019 16:00,1.075,22.825001,17.65,13.775,10.225
5/1/2019 16:15,1.075,22.825001,17.65,13.875,10.425
5/1/2019 16:30,1.075,22.825001,17.65,14.1,10.525
5/1/2019 16:45,1.075,22.825001,17.65,14.075,10.525
5/1/2019 17:00,1.075,22.825001,17.65,14.1,10.525
5/1/2019 17:15,1.075,22.825001,17.65,14.075,10.525
5/1/2019 17:30,1.075,22.825001,17.85,14.1,10.525
5/1/2019 17:45,1.075,22.825001,17.950001,14.075,10.525
5/1/2019 18:00,1.075,22.825001,17.950001,14.1,10.525
5/1/2019 18:15,1.075,22.825001,17.950001,14.3,10.625
5/1/2019 18:30,1.075,22.825001,17.950001,14.4,10.625
5/1/2019 18:45,1.075,22.825001,17.950001,14.5,10.825
5/1/2019 19:00,1.075,22.825001,17.950001,14.7,11.125
5/1/2019 19:15,1.075,22.825001,17.950001,14.9,11.45
5/1/2019 19:30,1.075,22.825001,17.950001,15,11.65
5/1/2019 19:45,1.075,22.825001,17.950001,15.1,12.15
5/1/2019 20:00,1.075,22.825001,17.950001,15.2,12.75
5/1/2019 20:15,1.075,22.825001,17.950001,15.2,13.275
5/1/2019 20:30,1.075,22.825001,17.950001,15.2,13.975
5/1/2019 20:45,1.075,22.825001,17.950001,15.2,14.075
5/1/2019 21:00,1.075,22.825001,17.950001,15.2,14.175
5/1/2019 21:15,1.075,22.825001,17.950001,15.2,14.6
5/1/2019 21:30,1.075,22.825001,17.950001,15.2,14.7
5/1/2019 21:45,1.075,22.825001,17.950001,15.2,15.1
5/1/2019 22:00,1.075,22.825001,17.950001,15.2,15.7
5/1/2019 22:15,1.075,22.825001,17.950001,15.2,16.025
5/1/2019 22:30,1.075,22.825001,17.950001,15.2,16.725
5/1/2019 22:45,1.075,22.825001,17.950001,15.3,18.049999
5/1/2019 23:00,1.075,22.825001,17.950001,15.3,18.049999
5/1/2019 23:15,1.075,22.825001,17.950001,15.3,19.174999
5/1/2019 23:30,1.075,22.825001,17.950001,15.3,19.775
5/1/2019 23:45,1.075,22.825001,17.950001,15.4,20.200001
5/2/2019 0:00,1.075,22.825001,17.950001,15.5,20.4
5/2/2019 0:15,1.075,22.825001,17.950001,15.5,20.700001
5/2/2019 0:30,1.075,22.825001,17.950001,15.5,20.9
5/2/2019 0:45,1.075,22.825001,17.950001,15.6,21.4
5/2/2019 1:00,1.075,22.825001,17.950001,15.7,21.6
5/2/2019 1:15,1.075,22.825001,17.950001,15.725,21.700001
5/2/2019 1:30,1.075,22.825001,17.950001,15.7,21.825001
5/2/2019 1:45,1.075,22.825001,17.950001,15.825,21.825001
5/2/2019 2:00,1.075,22.825001,17.950001,15.925,22.025
5/2/2019 2:15,1.075,22.825001,17.950001,16.025,22.424999
5/2/2019 2:30,1.075,22.825001,17.950001,16.125,22.924999
5/2/2019 2:45,1.075,22.825001,17.950001,16.325001,23.450001
5/2/2019 3:00,1.075,22.825001,17.950001,16.424999,24.049999
5/2/2019 3:15,1.075,22.825001,17.950001,16.424999,24.549999
5/2/2019 3:30,1.075,22.825001,17.950001,16.525,24.975
5/2/2019 3:45,1.075,22.825001,17.950001,16.525,25.075001
5/2/2019 4:00,1.075,22.825001,17.950001,16.625,25.275
5/2/2019 4:15,1.075,22.825001,17.950001,16.625,25.275
5/2/2019 4:30,1.075,22.825001,17.950001,16.725,25.275
5/2/2019 4:45,1.075,22.825001,17.950001,16.825001,25.275
5/2/2019 5:00,1.075,22.825001,17.950001,16.825001,25.475
5/2/2019 5:15,1.075,22.825001,17.950001,16.825001,25.674999
5/2/2019 5:30,1.075,22.825001,17.950001,16.924999,25.674999
5/2/2019 5:45,1.075,22.825001,17.950001,16.924999,25.674999
5/2/2019 6:00,1.075,22.825001,17.950001,17.025,25.775
5/2/2019 6:15,1.075,22.825001,17.950001,17.125,25.775
5/2/2019 6:30,1.075,22.825001,17.950001,0.075,25.775
5/2/2019 6:45,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 7:00,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 7:15,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 7:30,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 7:45,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 8:00,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 8:15,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 8:30,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 8:45,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 9:00,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 9:15,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 9:30,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 9:45,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 10:00,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 10:15,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 10:30,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 10:45,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 11:00,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 11:15,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 11:30,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 11:45,1.075,22.825001,17.950001,0.15,25.775
5/2/2019 12:00,1.075,22.825001,17.950001,0.175,25.775
5/2/2019 12:15,1.075,22.825001,17.950001,0.175,25.799999
5/2/2019 12:30,1.075,22.825001,17.950001,0.175,25.775
5/2/2019 12:45,1.075,22.825001,17.950001,0.175,26.299999
5/2/2019 13:00,1.075,22.825001,17.950001,0.175,26.299999
5/2/2019 13:15,1.175,22.825001,17.950001,0.175,26.299999
5/2/2019 13:30,1.175,22.825001,17.950001,0.175,26.299999
5/2/2019 13:45,1.175,22.825001,17.950001,0.175,26.299999
5/2/2019 14:00,1.175,22.825001,17.950001,0.175,26.299999
5/2/2019 14:15,1.175,22.825001,17.950001,0.175,26.299999
5/2/2019 14:30,1.175,22.825001,17.950001,0.175,26.299999
5/2/2019 14:45,1.175,22.825001,17.950001,0.175,26.299999
5/2/2019 15:00,1.175,22.825001,17.950001,0.175,26.299999
5/2/2019 15:15,1.175,22.825001,17.950001,0.875,26.299999
5/2/2019 15:30,1.175,22.825001,17.950001,0.875,26.299999
5/2/2019 15:45,1.175,22.825001,17.950001,0.875,26.299999
5/2/2019 16:00,1.175,22.825001,17.950001,0.875,26.299999
5/2/2019 16:15,1.175,22.825001,17.950001,0.875,26.299999
5/2/2019 16:30,1.175,22.825001,17.950001,0.875,26.299999
5/2/2019 16:45,1.175,22.825001,17.950001,0.875,26.700001
5/2/2019 17:00,1.175,22.825001,17.950001,0.875,27
5/2/2019 17:15,1.175,22.825001,17.950001,0.875,27.325001
5/2/2019 17:30,1.175,22.825001,18.25,0.875,27.4
5/2/2019 17:45,1.375,22.825001,18.549999,0.875,28.125
5/2/2019 18:00,1.475,22.825001,18.75,0.875,28.525
5/2/2019 18:15,1.675,22.825001,18.875,0.875,29.15
5/2/2019 18:30,1.675,22.825001,18.975,0.875,29.85
5/2/2019 18:45,1.675,22.825001,18.975,0.875,30.450001
5/2/2019 19:00,1.675,22.825001,18.975,0.875,30.875
5/2/2019 19:15,1.675,22.825001,19.075001,0.875,31.375
5/2/2019 19:30,1.875,22.825001,19.075001,0.875,31.875
5/2/2019 19:45,2.175,22.825001,19.275,0.875,32.299999
5/2/2019 20:00,2.175,22.825001,19.575001,0.875,32.599998
5/2/2019 20:15,2.175,22.825001,20.200001,0.875,32.900002
5/2/2019 20:30,2.5,22.825001,20.700001,0.875,33.424999
5/2/2019 20:45,2.9,22.825001,20.700001,0.875,33.924999
5/2/2019 21:00,3,22.825001,20.799999,0.875,34.325001
5/2/2019 21:15,3.2,22.825001,20.799999,0.875,34.825001
5/2/2019 21:30,3.3,22.825001,20.9,0.875,35.150002
5/2/2019 21:45,3.3,22.825001,20.9,0.875,35.549999
5/2/2019 22:00,3.3,22.825001,20.9,0.875,35.849998
5/2/2019 22:15,3.3,22.825001,20.9,0.875,36.150002
5/2/2019 22:30,3.3,22.825001,20.9,0.875,36.575001
5/2/2019 22:45,3.3,22.825001,20.9,0.875,36.974998
5/2/2019 23:00,3.3,22.825001,20.9,0.875,37.474998
5/2/2019 23:15,3.3,22.825001,20.9,0.875,37.775002
5/2/2019 23:30,3.3,22.825001,20.9,0.875,38.200001
5/2/2019 23:45,3.3,22.825001,20.9,0.875,38.700001
5/3/2019 0:00,3.3,22.825001,20.9,0.875,38.900002
5/3/2019 0:15,3.3,22.825001,20.9,0.875,39.200001
5/3/2019 0:30,3.3,22.825001,20.9,0.875,39.525002
5/3/2019 0:45,3.3,22.825001,20.9,0.875,39.924999
5/3/2019 1:00,3.3,22.825001,20.9,0.875,40.224998
5/3/2019 1:15,3.3,22.825001,20.9,0.875,40.724998
5/3/2019 1:30,3.3,22.825001,21,0.875,41.150002
5/3/2019 1:45,3.3,22.825001,21.200001,0.875,41.25
5/3/2019 2:00,3.3,22.825001,21.200001,0.875,41.450001
5/3/2019 2:15,3.3,22.825001,21.299999,0.875,41.450001
5/3/2019 2:30,3.3,22.825001,21.4,0.875,41.650002
5/3/2019 2:45,3.3,22.825001,21.4,0.875,41.650002
5/3/2019 3:00,3.3,22.825001,21.4,0.875,41.75
5/3/2019 3:15,3.3,22.825001,21.5,0.875,41.75
5/3/2019 3:30,3.3,22.825001,21.5,0.875,41.75
5/3/2019 3:45,3.3,22.825001,21.5,0.875,41.75
5/3/2019 4:00,3.3,22.825001,21.5,0.875,41.75
5/3/2019 4:15,3.3,22.825001,21.5,0.875,41.75
5/3/2019 4:30,3.3,22.825001,21.5,0.875,41.75
5/3/2019 4:45,3.3,22.825001,21.5,0.875,41.75
5/3/2019 5:00,3.3,22.825001,21.5,0.875,41.75
5/3/2019 5:15,3.3,22.825001,21.5,0.875,41.849998
5/3/2019 5:30,3.3,22.825001,21.5,0.875,41.849998
5/3/2019 5:45,3.3,22.825001,21.5,0.875,41.950001
5/3/2019 6:00,3.3,22.825001,21.5,0.875,42.049999
5/3/2019 6:15,3.4,22.825001,21.5,0.875,42.049999
5/3/2019 6:30,3.4,22.825001,21.5,0.875,42.150002
5/3/2019 6:45,3.5,22.825001,21.5,0.875,42.25
5/3/2019 7:00,3.5,22.825001,21.5,0.875,42.375
5/3/2019 7:15,3.5,22.825001,0.075,0.875,42.375
5/3/2019 7:30,3.5,22.825001,0.075,0.875,42.474998
5/3/2019 7:45,3.6,22.825001,0.075,0.875,42.575001
5/3/2019 8:00,3.6,22.825001,0.075,0.875,42.674999
5/3/2019 8:15,3.6,22.825001,0.075,0.875,42.775002
5/3/2019 8:30,3.7,22.825001,0.075,0.875,42.875
5/3/2019 8:45,3.7,22.825001,0.075,0.875,42.875
5/3/2019 9:00,3.7,22.825001,0.075,0.875,42.875
5/3/2019 9:15,3.7,22.825001,0.075,0.875,42.974998
5/3/2019 9:30,3.925,22.825001,0.075,0.875,43.174999
5/3/2019 9:45,3.9,22.825001,0.075,0.875,43.275002
5/3/2019 10:00,3.925,22.825001,0.075,0.875,43.275002
5/3/2019 10:15,3.9,22.825001,0.075,0.875,43.275002
5/3/2019 10:30,3.925,22.825001,0.075,0.875,43.275002
5/3/2019 10:45,4.025,22.825001,0.075,0.875,43.375
5/3/2019 11:00,4,22.825001,0.075,0.875,43.375
5/3/2019 11:15,4.025,22.825001,0.075,0.875,43.375
5/3/2019 11:30,4.025,22.825001,0.075,0.875,43.599998
5/3/2019 11:45,4.025,22.825001,0.075,0.875,43.575001
5/3/2019 12:00,4.025,22.825001,0.075,0.875,44.099998
5/3/2019 12:15,4.025,22.825001,0.075,0.875,44.099998
5/3/2019 12:30,4.025,22.825001,0.075,1.075,44.099998
5/3/2019 12:45,4.025,22.825001,0.075,1.075,44.099998
5/3/2019 13:00,4.025,22.825001,0.275,1.075,44.099998
5/3/2019 13:15,4.025,17.137501,0.275,1.075,44.099998
5/3/2019 13:30,4.025,11.450001,0.275,1.075,44.099998
5/3/2019 13:45,4.025,5.7625,0.275,1.075,44.099998
5/3/2019 14:00,4.325,0.075,0.275,1.075,44.099998
5/3/2019 14:15,4.325,0.075,0.275,1.075,44.099998
5/3/2019 14:30,4.325,0.075,0.275,1.075,44.099998
5/3/2019 14:45,4.325,0.075,0.275,1.075,44.099998
5/3/2019 15:00,4.325,0.075,0.275,1.075,44.099998
5/3/2019 15:15,4.325,0.075,0.275,1.8,44.099998
5/3/2019 15:30,4.325,0.075,0.275,1.9,44.099998
5/3/2019 15:45,4.325,0.075,0.275,1.875,44.099998
5/3/2019 16:00,4.625,0.075,0.275,1.875,44.099998
5/3/2019 16:15,4.925,0.075,0.275,1.875,44.099998
5/3/2019 16:30,5.025,0.075,0.275,1.875,44.099998
5/3/2019 16:45,5.025,0.075,0.275,1.9,44.099998
5/3/2019 17:00,5.025,0.075,0.275,1.875,44.075001
5/3/2019 17:15,5.225,0.075,0.275,1.875,44.200001
5/3/2019 17:30,5.225,0.075,0.275,1.875,44.400002
5/3/2019 17:45,5.225,0.075,0.275,2.1,44.700001
5/3/2019 18:00,5.325,0.075,0.275,2.1,44.700001
5/3/2019 18:15,5.325,0.075,0.275,2.1,44.700001
5/3/2019 18:30,5.325,0.075,0.275,2.2,44.900002
5/3/2019 18:45,5.325,0.075,0.275,2.2,44.900002
5/3/2019 19:00,5.325,0.075,0.275,2.175,44.900002
5/3/2019 19:15,5.325,0.075,0.275,2.3,44.900002
5/3/2019 19:30,5.325,0.075,0.25,2.3,44.900002
5/3/2019 19:45,5.325,0.075,0.275,2.3,44.900002
5/3/2019 20:00,5.425,0.075,0.25,2.3,44.900002
5/3/2019 20:15,5.525,0.075,0.275,2.3,44.900002
5/3/2019 20:30,5.525,0.075,0.25,2.3,44.900002
5/3/2019 20:45,5.55,0.075,0.275,2.5,44.900002
5/3/2019 21:00,5.625,0.075,0.25,2.5,44.900002
5/3/2019 21:15,5.85,0.075,0.25,2.5,44.900002
5/3/2019 21:30,5.95,0.075,0.275,2.6,44.900002
5/3/2019 21:45,6.05,0.075,0.25,2.6,44.900002
5/3/2019 22:00,6.05,0.075,0.275,2.6,44.900002
5/3/2019 22:15,6.05,0.075,0.375,2.6,44.900002
5/3/2019 22:30,6.05,0.075,0.375,2.6,44.900002
5/3/2019 22:45,6.05,0.075,0.375,2.6,44.900002
5/3/2019 23:00,6.15,0.075,0.375,2.6,44.900002
5/3/2019 23:15,6.15,0.075,0.375,2.6,44.900002
5/3/2019 23:30,6.15,0.075,0.35,2.6,44.900002
5/3/2019 23:45,6.25,0.075,0.375,2.6,44.900002
5/4/2019 0:00,6.25,0.075,0.35,2.6,44.900002
5/4/2019 0:15,6.35,0.075,0.375,2.6,44.900002
5/4/2019 0:30,6.35,0.075,0.35,2.6,44.900002
5/4/2019 0:45,6.35,0.075,0.375,2.6,44.900002
5/4/2019 1:00,6.55,0.075,0.35,2.6,44.900002
5/4/2019 1:15,6.55,0.075,0.375,2.6,44.900002
5/4/2019 1:30,6.55,0.075,0.35,2.6,44.900002
5/4/2019 1:45,6.65,0.075,0.375,2.6,44.900002
5/4/2019 2:00,6.75,0.075,0.35,2.6,44.900002
5/4/2019 2:15,6.75,0.075,0.375,2.6,45
5/4/2019 2:30,6.75,0.075,0.375,2.6,45
5/4/2019 2:45,6.75,0.075,0.35,2.6,45
5/4/2019 3:00,6.85,0.075,0.375,2.6,45
5/4/2019 3:15,6.95,0.075,0.35,2.6,45.099998
5/4/2019 3:30,7.05,0.075,0.375,2.6,45.099998
5/4/2019 3:45,7.175,0.075,0.35,2.6,45.099998
5/4/2019 4:00,7.25,0.075,0.375,2.6,45.099998
5/4/2019 4:15,7.275,0.075,0.35,2.6,45.099998
5/4/2019 4:30,7.25,0.075,0.375,2.6,45.099998
5/4/2019 4:45,7.275,0.075,0.35,2.6,45.099998
5/4/2019 5:00,7.25,0.075,0.375,2.6,45.099998
5/4/2019 5:15,7.275,0.075,0.35,2.6,45.099998
5/4/2019 5:30,7.25,0.075,0.375,2.6,45.099998
5/4/2019 5:45,7.275,0.075,0.35,2.6,45.099998
5/4/2019 6:00,7.275,0.075,0.375,2.6,45.099998
5/4/2019 6:15,7.25,0.075,0.375,2.6,45.099998
5/4/2019 6:30,7.275,0.075,0.375,2.6,45.099998
5/4/2019 6:45,7.25,0.075,0.375,2.6,45.099998
5/4/2019 7:00,7.275,0.075,0.375,2.6,45.099998
5/4/2019 7:15,7.375,0.075,0.375,2.6,45.299999
5/4/2019 7:30,7.375,0.075,0.375,2.6,45.525002
5/4/2019 7:45,7.375,0.075,0.375,2.6,45.525002
5/4/2019 8:00,7.375,0.075,0.35,2.6,45.5
5/4/2019 8:15,7.375,0.075,0.375,2.6,45.525002
5/4/2019 8:30,7.375,0.075,0.35,2.6,45.525002
5/4/2019 8:45,7.375,0.075,0.375,2.6,45.525002
5/4/2019 9:00,7.375,0.075,0.375,2.6,45.525002
5/4/2019 9:15,7.375,0.075,0.375,2.6,45.525002
5/4/2019 9:30,7.375,0.075,0.375,2.6,45.525002
5/4/2019 9:45,7.375,0.075,0.375,2.6,45.525002
5/4/2019 10:00,7.375,0.075,0.375,2.6,45.5
5/4/2019 10:15,7.375,0.075,0.375,2.6,45.525002
5/4/2019 10:30,7.375,0.075,0.375,2.6,45.525002
5/4/2019 10:45,7.375,0.075,0.375,2.6,45.525002
5/4/2019 11:00,7.375,0.075,0.375,2.6,45.525002
5/4/2019 11:15,7.375,0.075,0.375,2.6,45.525002
5/4/2019 11:30,7.375,0.075,0.375,2.6,45.525002
5/4/2019 11:45,7.375,0.075,0.675,2.6,45.525002
5/4/2019 12:00,7.375,0.075,0.675,2.6,45.525002
5/4/2019 12:15,7.375,0.075,0.675,2.6,45.525002
5/4/2019 12:30,7.375,0.075,0.675,2.6,45.525002
5/4/2019 12:45,7.375,0.075,0.775,2.6,45.5
5/4/2019 13:00,7.375,0.075,0.775,2.6,45.525002
5/4/2019 13:15,7.375,0.075,0.775,2.6,45.525002
5/4/2019 13:30,7.375,0.075,0.775,2.8,45.525002
5/4/2019 13:45,7.375,0.075,0.775,3.1,45.525002
5/4/2019 14:00,7.375,0.075,0.775,3.1,45.525002
5/4/2019 14:15,7.375,0.075,0.775,3.1,45.5
5/4/2019 14:30,7.375,0.075,0.775,3.1,45.525002
5/4/2019 14:45,7.375,0.075,0.775,3.1,45.525002
5/4/2019 15:00,7.575,0.075,0.775,3.1,45.525002
5/4/2019 15:15,7.575,0.075,0.775,3.1,45.5
5/4/2019 15:30,7.575,0.075,1.175,3.1,45.525002
5/4/2019 15:45,7.575,0.075,1.275,3.1,45.525002
5/4/2019 16:00,7.575,0.075,1.475,3.1,45.525002
5/4/2019 16:15,7.575,0.075,1.775,3.1,45.525002
5/4/2019 16:30,7.575,0.075,1.775,3.1,45.5
5/4/2019 16:45,7.575,0.075,1.775,3.1,45.525002
5/4/2019 17:00,7.575,0.075,1.775,3.1,45.525002
5/4/2019 17:15,7.575,0.075,1.775,3.1,45.525002
5/4/2019 17:30,7.575,0.075,1.775,3.1,45.625
5/4/2019 17:45,7.575,0.075,2.1,3.1,45.625
5/4/2019 18:00,7.575,0.075,2.1,3.1,45.625
5/4/2019 18:15,7.575,0.075,2.4,3.1,45.625
5/4/2019 18:30,7.575,0.075,2.4,3.1,45.625
5/4/2019 18:45,7.575,0.075,2.7,3.1,45.625
5/4/2019 19:00,7.575,0.075,2.7,3.1,45.625
5/4/2019 19:15,7.575,0.075,3,3.1,45.700001
5/4/2019 19:30,7.575,0.075,3.325,3.1,45.724998
5/4/2019 19:45,7.575,0.075,3.4,3.1,45.724998
5/4/2019 20:00,7.775,0.075,3.6,3.1,45.724998
5/4/2019 20:15,7.775,0.075,4.025,3.1,45.724998
5/4/2019 20:30,7.775,0.075,4.225,3.1,45.825001
5/4/2019 20:45,7.775,0.075,4.425,3.1,45.924999
5/4/2019 21:00,7.775,0.075,4.525,3.1,45.924999
5/4/2019 21:15,7.775,0.075,4.525,3.1,46.025002
5/4/2019 21:30,7.775,0.075,4.525,3.1,46.125
5/4/2019 21:45,7.775,0.075,4.525,3.1,46.224998
5/4/2019 22:00,7.775,0.075,4.525,3.1,46.525002
5/4/2019 22:15,7.775,0.075,4.525,3.1,46.525002
5/4/2019 22:30,7.775,0.075,4.525,3.1,46.525002
5/4/2019 22:45,7.775,0.075,4.525,3.1,46.724998
5/4/2019 23:00,7.875,0.075,4.525,3.1,46.950001
5/4/2019 23:15,7.875,0.075,4.525,3.1,47.950001
5/4/2019 23:30,7.975,0.075,4.525,3.1,47.950001
5/4/2019 23:45,8.075,0.075,4.525,3.1,47.950001
5/5/2019 0:00,8.175,0.075,4.525,3.1,48.25
5/5/2019 0:15,8.175,0.075,4.525,3.1,48.349998
5/5/2019 0:30,8.175,0.075,4.525,3.1,48.349998
5/5/2019 0:45,8.175,0.075,4.525,3.1,48.349998
5/5/2019 1:00,8.175,0.075,4.525,3.1,48.349998
5/5/2019 1:15,8.175,0.075,4.525,3.1,48.75
5/5/2019 1:30,8.175,0.075,4.525,3.1,48.875
5/5/2019 1:45,8.175,0.075,4.525,3.1,48.974998
5/5/2019 2:00,8.275,0.075,4.525,3.1,49.174999
5/5/2019 2:15,8.275,0.075,4.625,3.1,49.174999
5/5/2019 2:30,8.375,0.075,4.625,3.1,49.375
5/5/2019 2:45,8.375,0.075,4.625,3.1,49.375
5/5/2019 3:00,8.375,0.075,4.625,3.1,49.575001
5/5/2019 3:15,8.375,0.075,4.625,3.1,49.974998
5/5/2019 3:30,8.375,0.075,4.625,3.1,49.974998
5/5/2019 3:45,8.375,0.075,4.625,3.1,49.974998
5/5/2019 4:00,8.375,0.075,4.625,3.1,49.974998
5/5/2019 4:15,8.375,0.075,4.625,3.1,0.075
5/5/2019 4:30,8.375,0.075,4.625,3.1,0.15
5/5/2019 4:45,8.475,0.075,4.625,3.1,0.25
5/5/2019 5:00,8.475,0.075,4.625,3.1,0.25
5/5/2019 5:15,8.475,0.075,4.625,3.1,0.35
5/5/2019 5:30,8.475,0.075,4.625,3.1,0.375
5/5/2019 5:45,8.475,0.075,4.625,3.1,0.475
5/5/2019 6:00,8.475,0.075,4.625,3.1,0.475
5/5/2019 6:15,8.475,0.075,4.625,3.1,0.475
5/5/2019 6:30,8.475,0.075,4.625,3.1,0.475
5/5/2019 6:45,8.475,0.075,4.625,3.1,0.475
5/5/2019 7:00,8.475,0.075,4.625,3.1,0.575
5/5/2019 7:15,8.475,0.075,4.625,3.1,0.675
5/5/2019 7:30,8.475,0.075,4.625,3.1,0.775
5/5/2019 7:45,8.475,0.075,4.625,3.1,0.775
5/5/2019 8:00,8.475,0.075,4.625,3.1,0.775
5/5/2019 8:15,8.475,0.075,4.625,3.1,0.775
5/5/2019 8:30,8.475,0.075,4.625,3.1,0.875
5/5/2019 8:45,8.475,0.075,4.625,3.1,0.975
5/5/2019 9:00,8.475,0.075,4.625,3.1,1.075
