,Arolla / Météo (Arolla - Pluviométrie - mm),C: Arolla / Météo (Arolla - Pluviométrie - mm) (1. Année précédente),C: Arolla / Météo (Arolla - Pluviométrie - mm) (2. Année précédente),C: Arolla / Météo (Arolla - Pluviométrie - mm) (3. Année précédente),C: Arolla / Météo (Arolla - Pluviométrie - mm) (4. Année précédente)
5/1/2019 16:30,27.75,19.687,32.030998,32.125,41.344002
5/1/2019 16:45,27.75,19.687,32.030998,32.125,41.344002
5/1/2019 17:00,27.75,19.687,32.030998,32.219002,41.344002
5/1/2019 17:15,27.75,19.687,32.030998,32.219002,41.344002
5/1/2019 17:30,27.75,19.687,32.030998,32.219002,41.344002
5/1/2019 17:45,27.75,19.687,32.030998,32.219002,41.905998
5/1/2019 18:00,27.75,19.687,32.219002,32.530998,41.905998
5/1/2019 18:15,27.75,19.687,32.219002,32.530998,41.905998
5/1/2019 18:30,27.75,19.687,32.219002,32.530998,41.905998
5/1/2019 18:45,27.75,19.687,32.344002,32.530998,42.25
5/1/2019 19:00,27.75,19.687,32.344002,32.530998,42.25
5/1/2019 19:15,27.75,19.687,32.344002,32.844002,42.687
5/1/2019 19:30,27.75,19.687,32.344002,32.844002,43.187
5/1/2019 19:45,27.75,19.687,32.344002,32.844002,43.187
5/1/2019 20:00,27.75,19.687,32.344002,33.030998,44.405998
5/1/2019 20:15,27.75,19.687,32.344002,33.030998,45.344002
5/1/2019 20:30,27.75,20,32.344002,33.030998,46.25
5/1/2019 20:45,27.75,20,32.344002,33.030998,46.969002
5/1/2019 21:00,27.75,20,32.344002,33.030998,47.562
5/1/2019 21:15,27.75,20,32.344002,33.030998,48.155998
5/1/2019 21:30,27.75,20.312,32.344002,33.030998,48.594002
5/1/2019 21:45,27.75,20.719,32.344002,33.030998,48.594002
5/1/2019 22:00,27.75,20.719,32.344002,33.030998,0.031
5/1/2019 22:15,27.75,20.719,32.344002,33.030998,0.031
5/1/2019 22:30,27.75,20.937,32.344002,33.030998,1.625
5/1/2019 22:45,27.75,20.937,32.344002,33.030998,2.656
5/1/2019 23:00,27.75,20.937,32.344002,33.030998,3.281
5/1/2019 23:15,27.75,21.125,32.344002,33.030998,5.312
5/1/2019 23:30,27.75,21.125,32.344002,33.030998,6.031
5/1/2019 23:45,27.75,21.344,32.344002,33.030998,7.031
5/2/2019 0:00,27.75,21.344,32.344002,33.030998,7.562
5/2/2019 0:15,27.75,21.344,32.344002,33.030998,7.562
5/2/2019 0:30,27.75,21.625,32.344002,33.030998,7.562
5/2/2019 0:45,27.75,21.625,32.344002,33.030998,7.969
5/2/2019 1:00,27.75,21.625,32.344002,33.030998,8.469
5/2/2019 1:15,27.75,21.75,32.344002,33.030998,9.094
5/2/2019 1:30,27.75,21.75,32.344002,33.030998,9.094
5/2/2019 1:45,27.75,21.75,32.344002,33.030998,9.5
5/2/2019 2:00,27.75,21.75,32.344002,33.030998,9.5
5/2/2019 2:15,27.75,21.75,32.344002,33.030998,9.5
5/2/2019 2:30,27.75,21.937,32.344002,33.25,9.812
5/2/2019 2:45,27.75,21.937,32.344002,33.25,10.406
5/2/2019 3:00,27.75,21.937,32.344002,33.25,11.031
5/2/2019 3:15,27.75,21.937,32.344002,33.25,11.75
5/2/2019 3:30,27.75,22.031,32.344002,33.437,12.125
5/2/2019 3:45,27.75,22.031,32.344002,33.437,12.125
5/2/2019 4:00,27.75,22.031,32.344002,33.437,12.125
5/2/2019 4:15,27.75,22.031,32.344002,33.437,12.125
5/2/2019 4:30,27.75,22.031,32.344002,33.437,12.344
5/2/2019 4:45,27.75,22.031,32.344002,33.530998,12.875
5/2/2019 5:00,27.75,22.031,32.344002,33.530998,12.875
5/2/2019 5:15,27.75,22.031,32.344002,33.530998,12.875
5/2/2019 5:30,27.75,22.031,32.344002,33.530998,13.281
5/2/2019 5:45,27.75,22.031,32.344002,33.655998,13.969
5/2/2019 6:00,27.75,22.031,32.344002,33.655998,13.969
5/2/2019 6:15,27.75,22.031,32.344002,33.655998,13.969
5/2/2019 6:30,27.75,22.031,32.344002,33.655998,14.094
5/2/2019 6:45,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 7:00,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 7:15,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 7:30,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 7:45,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 8:00,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 8:15,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 8:30,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 8:45,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 9:00,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 9:15,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 9:30,27.75,22.031,32.344002,33.969002,14.094
5/2/2019 9:45,27.75,22.031,32.344002,33.937,14.094
5/2/2019 10:00,27.75,22.031,32.344002,33.937,14.094
5/2/2019 10:15,27.75,22.031,32.344002,33.937,14.094
5/2/2019 10:30,27.75,22.031,32.344002,33.937,14.094
5/2/2019 10:45,27.75,22.031,32.344002,33.937,14.094
5/2/2019 11:00,27.75,22.031,32.344002,33.937,14.094
5/2/2019 11:15,27.75,22.031,32.344002,33.937,14.094
5/2/2019 11:30,27.75,22.031,32.344002,33.937,14.094
5/2/2019 11:45,27.75,22.031,32.344002,33.937,14.094
5/2/2019 12:00,27.75,22.031,32.344002,33.937,14.094
5/2/2019 12:15,27.75,22.031,32.344002,33.937,14.094
5/2/2019 12:30,27.75,22.031,32.344002,33.937,14.094
5/2/2019 12:45,27.75,22.031,32.719002,33.937,14.094
5/2/2019 13:00,27.75,22.031,32.719002,33.937,14.094
5/2/2019 13:15,27.75,22.031,32.719002,33.937,14.094
5/2/2019 13:30,27.75,22.031,32.719002,33.937,14.094
5/2/2019 13:45,27.75,22.125,32.719002,33.937,14.094
5/2/2019 14:00,27.75,22.125,32.719002,33.937,14.094
5/2/2019 14:15,27.75,22.125,32.719002,33.937,14.094
5/2/2019 14:30,27.75,22.125,32.719002,33.937,14.094
5/2/2019 14:45,27.75,22.125,32.719002,33.937,14.094
5/2/2019 15:00,27.75,22.125,32.719002,33.937,14.094
5/2/2019 15:15,27.75,22.125,32.719002,33.937,14.094
5/2/2019 15:30,27.75,22.125,32.719002,33.937,14.094
5/2/2019 15:45,27.75,22.125,32.719002,33.937,14.094
5/2/2019 16:00,27.75,22.125,32.719002,33.937,14.094
5/2/2019 16:15,27.75,22.125,32.719002,33.937,14.094
5/2/2019 16:30,27.75,22.125,32.719002,33.937,14.094
5/2/2019 16:45,27.75,22.125,32.719002,34.437,14.094
5/2/2019 17:00,27.75,22.25,32.719002,34.437,14.094
5/2/2019 17:15,28.25,22.25,32.719002,34.437,14.094
5/2/2019 17:30,28.25,22.25,33.030998,34.437,14.094
5/2/2019 17:45,29,22.437,33.030998,34.437,14.094
5/2/2019 18:00,29,22.437,33.530998,34.437,15.719
5/2/2019 18:15,29.562,22.844,33.969002,34.437,16.437
5/2/2019 18:30,29.875,22.844,33.969002,34.437,17.375
5/2/2019 18:45,29.875,23.156,33.969002,34.437,18.156
5/2/2019 19:00,29.875,23.156,33.969002,34.437,19.094
5/2/2019 19:15,29.875,23.156,33.969002,34.437,19.687
5/2/2019 19:30,29.875,23.594,33.969002,34.437,20.5
5/2/2019 19:45,30.375,24.094,34.469002,34.469002,21.219
5/2/2019 20:00,30.906,24.094,35.280998,34.469002,21.937
5/2/2019 20:15,30.906,24.5,36.094002,34.469002,22.562
5/2/2019 20:30,31.281,24.5,36.405998,34.469002,23.062
5/2/2019 20:45,31.625,24.812,36.405998,34.469002,23.562
5/2/2019 21:00,31.625,24.812,36.405998,34.469002,24.187
5/2/2019 21:15,31.625,24.812,36.687,34.469002,24.781
5/2/2019 21:30,31.625,25.219,36.687,34.469002,25.406
5/2/2019 21:45,31.812,25.219,36.687,34.469002,26
5/2/2019 22:00,31.812,25.219,36.687,34.469002,26.625
5/2/2019 22:15,31.812,25.5,36.687,34.469002,27.25
5/2/2019 22:30,31.812,25.5,36.687,34.469002,27.25
5/2/2019 22:45,31.812,25.937,36.687,34.469002,27.844
5/2/2019 23:00,31.812,25.937,36.687,34.469002,28.406
5/2/2019 23:15,31.812,26.437,36.687,34.469002,28.969
5/2/2019 23:30,31.812,26.437,36.687,34.469002,28.969
5/2/2019 23:45,31.812,26.937,36.687,34.469002,29.594
5/3/2019 0:00,31.812,26.937,36.687,34.469002,30.187
5/3/2019 0:15,31.812,27.437,36.687,34.469002,30.906
5/3/2019 0:30,31.812,27.437,36.687,34.469002,31.5
5/3/2019 0:45,31.812,27.75,36.687,34.469002,32
5/3/2019 1:00,31.812,28.281,36.687,34.469002,32
5/3/2019 1:15,31.812,28.281,36.687,34.469002,32.625
5/3/2019 1:30,31.812,28.875,36.687,34.469002,33.25
5/3/2019 1:45,31.812,29.25,36.687,34.469002,33.875
5/3/2019 2:00,31.812,29.687,36.687,34.469002,33.875
5/3/2019 2:15,31.812,29.687,36.687,34.469002,33.875
5/3/2019 2:30,31.812,30.094,36.812,34.469002,34.125
5/3/2019 2:45,31.812,30.094,36.812,34.469002,34.125
5/3/2019 3:00,31.812,30.5,36.812,34.469002,34.125
5/3/2019 3:15,31.812,30.5,36.812,34.469002,34.469002
5/3/2019 3:30,31.812,30.781,36.812,34.469002,34.469002
5/3/2019 3:45,31.812,30.781,36.812,34.469002,34.469002
5/3/2019 4:00,31.812,31.312,36.812,34.469002,34.469002
5/3/2019 4:15,31.812,31.844,36.812,34.469002,34.469002
5/3/2019 4:30,31.812,31.844,36.812,34.469002,34.469002
5/3/2019 4:45,31.812,31.844,36.812,34.469002,34.469002
5/3/2019 5:00,31.812,31.844,36.812,34.469002,34.655998
5/3/2019 5:15,31.812,32.344002,36.812,34.469002,34.655998
5/3/2019 5:30,31.812,33.062,36.812,34.469002,34.655998
5/3/2019 5:45,31.812,33.655998,36.812,34.469002,34.969002
5/3/2019 6:00,31.812,33.655998,36.812,34.469002,34.969002
5/3/2019 6:15,31.812,34.062,36.812,34.469002,34.969002
5/3/2019 6:30,31.812,34.655998,36.812,34.469002,35.155998
5/3/2019 6:45,31.812,34.655998,36.812,34.469002,35.155998
5/3/2019 7:00,31.812,34.655998,36.812,34.469002,35.155998
5/3/2019 7:15,31.812,34.655998,36.812,34.469002,35.375
5/3/2019 7:30,31.812,34.75,36.812,34.469002,35.375
5/3/2019 7:45,31.812,34.75,36.812,34.469002,35.375
5/3/2019 8:00,32,34.75,36.812,34.469002,35.687
5/3/2019 8:15,32,34.75,36.812,34.469002,35.687
5/3/2019 8:30,32,34.75,36.812,34.469002,35.687
5/3/2019 8:45,32,34.969002,36.812,34.469002,35.687
5/3/2019 9:00,32,34.969002,36.812,34.469002,35.687
5/3/2019 9:15,32,34.969002,36.812,34.469002,35.687
5/3/2019 9:30,32,35.5,36.812,34.469002,35.969002
5/3/2019 9:45,32,35.875,36.812,34.469002,35.969002
5/3/2019 10:00,32,35.875,36.812,34.469002,35.969002
5/3/2019 10:15,32,35.875,36.812,34.469002,35.969002
5/3/2019 10:30,32,36.5,36.812,34.469002,35.969002
5/3/2019 10:45,32,37.094002,36.812,34.469002,35.969002
5/3/2019 11:00,32.030998,37.594002,36.812,34.469002,36.187
5/3/2019 11:15,32.030998,38.187,36.812,34.469002,36.187
5/3/2019 11:30,32.030998,38.844002,36.812,34.469002,36.187
5/3/2019 11:45,32.030998,38.844002,36.812,34.469002,36.187
5/3/2019 12:00,32.312,39.125,36.812,34.469002,36.187
5/3/2019 12:15,32.312,40.030998,36.812,34.469002,36.405998
5/3/2019 12:30,32.312,40.75,36.812,34.469002,36.405998
5/3/2019 12:45,32.312,40.75,36.812,34.469002,36.405998
5/3/2019 13:00,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 13:15,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 13:30,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 13:45,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 14:00,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 14:15,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 14:30,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 14:45,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 15:00,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 15:15,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 15:30,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 15:45,32.312,41.280998,36.812,34.469002,36.405998
5/3/2019 16:00,32.312,41.780998,36.812,34.469002,36.405998
5/3/2019 16:15,32.312,42.469002,36.812,34.469002,36.405998
5/3/2019 16:30,32.312,42.469002,36.812,34.469002,36.375
5/3/2019 16:45,32.312,42.875,36.812,34.469002,36.375
5/3/2019 17:00,32.312,42.875,36.812,34.469002,36.375
5/3/2019 17:15,32.312,43.280998,36.812,34.469002,36.375
5/3/2019 17:30,32.312,43.280998,37.094002,34.469002,36.375
5/3/2019 17:45,32.312,43.719002,37.405998,35.187,36.594002
5/3/2019 18:00,32.312,44.219002,37.405998,35.187,36.594002
5/3/2019 18:15,32.312,44.812,37.405998,35.187,36.780998
5/3/2019 18:30,32.312,44.812,37.405998,35.280998,36.780998
5/3/2019 18:45,32.312,45.219002,37.405998,35.280998,37.094002
5/3/2019 19:00,32.312,45.219002,37.405998,35.280998,37.094002
5/3/2019 19:15,32.312,45.5,37.405998,35.280998,37.094002
5/3/2019 19:30,32.312,45.812,37.405998,35.780998,37.094002
5/3/2019 19:45,32.312,45.812,37.625,35.780998,37.094002
5/3/2019 20:00,32.312,45.812,37.625,35.780998,37.094002
5/3/2019 20:15,32.312,46.030998,37.625,35.780998,37.094002
5/3/2019 20:30,32.312,46.030998,37.625,35.780998,37.094002
5/3/2019 20:45,32.312,46.030998,37.625,35.780998,37.094002
5/3/2019 21:00,32.437,46.030998,37.625,35.780998,37.094002
5/3/2019 21:15,32.437,46.030998,37.625,35.780998,37.094002
5/3/2019 21:30,32.719002,46.030998,37.625,35.780998,37.094002
5/3/2019 21:45,32.719002,46.030998,37.625,35.780998,37.094002
5/3/2019 22:00,32.719002,46.125,37.625,35.780998,37.094002
5/3/2019 22:15,32.719002,46.125,37.625,35.780998,37.094002
5/3/2019 22:30,32.719002,46.125,37.625,35.780998,37.094002
5/3/2019 22:45,32.719002,46.125,37.625,35.780998,37.094002
5/3/2019 23:00,32.719002,46.125,37.625,35.780998,37.094002
5/3/2019 23:15,32.719002,46.125,37.625,35.780998,37.094002
5/3/2019 23:30,32.719002,46.125,37.625,35.780998,37.094002
5/3/2019 23:45,32.719002,46.125,37.625,35.780998,37.094002
5/4/2019 0:00,32.719002,46.125,37.625,35.780998,37.094002
5/4/2019 0:15,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 0:30,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 0:45,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 1:00,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 1:15,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 1:30,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 1:45,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 2:00,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 2:15,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 2:30,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 2:45,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 3:00,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 3:15,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 3:30,32.719002,46.125,37.594002,35.780998,37.094002
5/4/2019 3:45,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 4:00,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 4:15,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 4:30,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 4:45,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 5:00,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 5:15,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 5:30,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 5:45,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 6:00,32.719002,46.125,37.594002,35.780998,37.219002
5/4/2019 6:15,32.719002,46.125,37.625,35.780998,37.219002
5/4/2019 6:30,32.719002,46.125,37.625,35.780998,37.219002
5/4/2019 6:45,32.719002,46.125,37.625,35.780998,37.219002
5/4/2019 7:00,33.030998,46.125,37.625,35.780998,37.219002
5/4/2019 7:15,33.030998,46.125,37.625,35.780998,37.219002
5/4/2019 7:30,33.030998,46.155998,37.625,35.780998,37.5
5/4/2019 7:45,33.030998,46.155998,37.625,35.780998,37.5
5/4/2019 8:00,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 8:15,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 8:30,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 8:45,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 9:00,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 9:15,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 9:30,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 9:45,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 10:00,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 10:15,33.125,46.155998,37.625,35.780998,37.5
5/4/2019 10:30,33.125,46.155998,37.594002,35.780998,37.5
5/4/2019 10:45,33.125,46.155998,37.594002,35.780998,37.5
5/4/2019 11:00,33.125,46.155998,37.594002,35.780998,37.5
5/4/2019 11:15,33.125,46.155998,37.594002,35.780998,37.5
5/4/2019 11:30,33.125,46.155998,37.594002,35.780998,37.5
5/4/2019 11:45,33.125,46.125,37.594002,35.780998,37.5
5/4/2019 12:00,33.125,46.125,37.594002,35.780998,37.5
5/4/2019 12:15,33.125,46.75,37.594002,35.780998,37.5
5/4/2019 12:30,33.125,46.75,37.594002,35.780998,37.5
5/4/2019 12:45,33.125,46.75,37.594002,35.780998,37.5
5/4/2019 13:00,33.125,46.75,37.594002,35.780998,37.5
5/4/2019 13:15,33.125,46.75,37.594002,35.780998,37.5
5/4/2019 13:30,33.344002,46.75,37.594002,35.780998,37.5
5/4/2019 13:45,33.344002,46.75,37.594002,35.780998,37.5
5/4/2019 14:00,33.344002,46.75,37.594002,35.780998,37.5
5/4/2019 14:15,33.344002,46.75,37.594002,35.780998,37.719002
5/4/2019 14:30,33.344002,47.030998,37.594002,35.780998,37.719002
5/4/2019 14:45,33.344002,47.030998,37.594002,35.780998,37.719002
5/4/2019 15:00,33.344002,47.030998,37.594002,35.780998,37.719002
5/4/2019 15:15,33.344002,47.030998,37.594002,35.780998,37.719002
5/4/2019 15:30,33.344002,47.030998,38.125,35.780998,37.719002
5/4/2019 15:45,33.344002,47.030998,38.655998,35.780998,37.719002
5/4/2019 16:00,33.344002,47.030998,38.655998,35.780998,37.719002
5/4/2019 16:15,33.344002,47.030998,38.655998,35.780998,37.719002
5/4/2019 16:30,33.344002,47.030998,38.655998,35.780998,37.719002
5/4/2019 16:45,33.344002,47.030998,38.937,35.780998,37.719002
5/4/2019 17:00,33.344002,47.030998,38.937,35.780998,37.719002
5/4/2019 17:15,33.344002,47.062,39.219002,35.780998,37.719002
5/4/2019 17:30,33.344002,47.062,39.219002,35.780998,37.719002
5/4/2019 17:45,33.344002,47.062,39.219002,35.780998,37.719002
5/4/2019 18:00,33.344002,47.062,39.219002,35.780998,37.719002
5/4/2019 18:15,33.344002,47.062,39.219002,35.780998,37.719002
5/4/2019 18:30,33.344002,47.062,39.219002,35.780998,38.094002
5/4/2019 18:45,33.344002,47.062,39.219002,35.780998,38.094002
5/4/2019 19:00,33.344002,47.062,39.437,35.780998,38.094002
5/4/2019 19:15,33.344002,47.062,39.437,35.780998,38.094002
5/4/2019 19:30,33.344002,47.062,39.437,35.780998,38.094002
5/4/2019 19:45,33.344002,47.062,39.844002,35.780998,38.094002
5/4/2019 20:00,33.344002,47.062,40.469002,35.780998,38.094002
5/4/2019 20:15,33.344002,47.062,41.062,35.780998,38.094002
5/4/2019 20:30,33.344002,47.062,41.562,35.780998,38.094002
5/4/2019 20:45,33.344002,47.062,42.187,35.780998,38.219002
5/4/2019 21:00,33.344002,47.062,42.187,35.780998,38.219002
5/4/2019 21:15,33.344002,47.062,42.5,35.780998,38.219002
5/4/2019 21:30,33.344002,47.062,42.5,35.780998,38.219002
5/4/2019 21:45,33.344002,47.062,42.5,35.780998,38.219002
5/4/2019 22:00,33.437,47.062,42.5,35.780998,38.219002
5/4/2019 22:15,33.437,47.062,42.5,35.780998,38.219002
5/4/2019 22:30,33.437,47.062,42.5,35.780998,38.219002
5/4/2019 22:45,33.437,47.062,42.5,35.780998,38.219002
5/4/2019 23:00,33.437,47.062,42.594002,35.780998,38.219002
5/4/2019 23:15,33.719002,47.062,42.594002,35.780998,38.219002
5/4/2019 23:30,33.719002,47.062,42.594002,35.780998,38.219002
5/4/2019 23:45,33.719002,47.062,42.594002,35.780998,38.219002
5/5/2019 0:00,34.062,47.062,42.594002,35.780998,38.219002
5/5/2019 0:15,34.062,47.062,42.594002,35.780998,38.219002
5/5/2019 0:30,34.344002,47.062,42.594002,35.780998,38.219002
5/5/2019 0:45,34.344002,47.062,42.594002,35.780998,38.219002
5/5/2019 1:00,34.344002,47.062,42.594002,35.780998,38.219002
5/5/2019 1:15,34.562,47.062,42.594002,35.780998,38.219002
5/5/2019 1:30,34.562,47.062,42.594002,35.780998,38.219002
5/5/2019 1:45,34.562,47.062,42.594002,35.780998,38.219002
5/5/2019 2:00,34.562,47.062,42.594002,35.780998,38.219002
5/5/2019 2:15,34.562,47.062,42.594002,35.780998,38.219002
5/5/2019 2:30,34.655998,47.062,42.594002,35.780998,38.219002
5/5/2019 2:45,34.655998,47.062,42.594002,35.780998,38.219002
5/5/2019 3:00,34.655998,47.062,42.594002,35.780998,38.219002
5/5/2019 3:15,34.655998,47.062,42.594002,35.780998,38.219002
5/5/2019 3:30,34.655998,47.062,42.594002,35.780998,38.219002
5/5/2019 3:45,34.655998,47.062,42.594002,35.780998,38.219002
5/5/2019 4:00,34.655998,47.062,42.594002,35.780998,38.219002
5/5/2019 4:15,34.655998,47.062,42.594002,35.780998,38.219002
5/5/2019 4:30,34.655998,47.062,42.594002,35.780998,38.219002
5/5/2019 4:45,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 5:00,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 5:15,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 5:30,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 5:45,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 6:00,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 6:15,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 6:30,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 6:45,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 7:00,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 7:15,34.655998,47.062,42.594002,35.780998,38.530998
5/5/2019 7:30,34.655998,47.062,42.594002,35.780998,38.530998
